華語詞,序號,客語漢字,客語拼音,標籤,備註
似乎,0,異像,i55 qiong55,,
住在,0,歇在,hed5 di55,,
住在,1,歇在,hed5 cai55,,
住在,2,歇在,hed5 coi24,,
住在,3,歇在,hed5 do55,,
作品,0,作品,zog2 pin31,,
作風,0,作風,zog2 fung24,,
使得,0,做得,zo55 ded2,,
來臨,0,到來,do55 loi11,,
依法,0,依法,i24 fab2,,
便是,0,就係,qiu55 he55,,
信念,0,信念,xin55 ngiam55,,
倫理,0,倫理,lun11 li24,,
假日,0,尞日,liau55 ngid2,,
做出,0,做出,zo55 cud2,,
停留,0,停留,tin11 liu11,,
停車場,0,停車場,tin11 ca24 cong11,,
健全,0,健全,kien55 qion11,,
傳來,0,傳來,con11 loi11,,
傳播,0,傳播,con11 bo55,,
傳播,1,傳播,con11 bo24,,
傳輸,0,傳遞輸送,con11 ti55 su24 sung55,,
傾向,0,傾向,qin31 hiong55,,
傾向,1,傾向,kin24 hiong55,,
僅有,0,淨有,qiang55 iu24,,
價位,0,價數,ga55 sii55,,
價值觀,0,價值觀,ga55 ciid5 gon24,,
儀器,0,儀器,ngi11 hi55,,
儘速,0,盡量遽,qin55 liong55 giag2,,
優先,0,優先,iu24 xien24,,
儲存,0,儲存,cu11 sun11,,
儲存,1,儲存,cu11 cun11,,
元月,0,正月,zang24 ngied5,,
充份,0,充足,cung24 jiug31,,
先導,0,先導,xien24 to24,,
內政部,0,內政部,nui55 ziin55 pu55,,
內閣,0,內閣,nui55 gog2,,
兩性,0,兩性,liong31 xin55,,
公佈,0,公布,gung24 bu55,,
公司,0,公司,gung24 sii24,,
公營,0,公營,gung24 in11,,
共同,0,共同,kiung55 tung11,,
共和國,0,共和國,kiung55 fo11 gued2,,
其中,0,其中,ki11 zung24,,
具有,0,有,iu24,,
兼顧,0,同時顧著,tung11 sii11 gu55 do31,,
再次,0,過一擺,go55 id31 bai31,,
冬季,0,寒天時節,hon11 tien24 sii11 jied31,,
凌晨,0,半夜,ban55 ia55,,
出版品,0,出版品,cud2 ban31 pin31,,
分公司,0,分公司,fun24 gung24 sii24,,
分成,0,分做,bun24 zo55,,
分成,1,分做,fun24 zo55,,
列入,0,列入,lied5 ngib5,,
列為,0,列做,lied5 zo55,,
別的,0,別个,ped5 ge55,,
別的,1,別个,pied5 ge55,,
利率,0,利率,li55 lid5,,
刻意,0,挑事,tiau24 sii55,,
前者,0,前面个,qien11 mien55 ge55,,
副教授,0,副教授,fu55 gau55 su55,,
創造力,0,創造力,cong31 co55 lid5,,
劇團,0,劇團,kiag2 ton11,,
劇場,0,劇場,kiag2 cong11,,
功夫,0,功夫,gung24 fu24,,
功能,0,功能,gung24 nen11,,
加州,0,加州,ga24 zu24,,
加拿大,0,加拿大,ga24 na24 tai55,,
加速,0,加速,ga24 sug2,,
動物,0,動物,tung55 vud5,,
勢必,0,定著,tin55 cog,,
北方,0,北方,bed2 fong24,,
十多,0,十過,siib5 go55,,
十萬,0,十萬,siib5 van55,,
十足,0,十足,siib5 jiug2,,
升級,0,升級,siin24 kib2,,
升級,1,升級,siin24 gib2,,
半導體,0,半導體,ban55 to55 ti31,,
協議,0,協議,hiab5 ngi55,,
印尼,0,印尼,in55 ni11,,
即使,0,就算恁呢,qiu55 son55 an31 ne11,,
原先,0,原旦,ngien11 dan31,,
原有,0,原旦就有,ngien11 dan31 qiu55 iu24,,
原理,0,原理,ngien11 li24,,
參與,0,參與,cam24 i31,,
反彈,0,彈轉去,tan11 zon31 hi55,,
取向,0,取向,qi31 hiong55,,
受到,0,受著,su55 do31,,
古人,0,老古人,lo31 gu31 ngin11,,
古老,0,古老,gu31 lo31,,
只是,0,淨係,qiang55 he55,,
可是,0,毋過,m11 go55,,
可行,0,做得做,zo55 ded31 zo55,,
同志,0,同志,tung11 zii55,,
同性戀,0,同性戀,tung11 xin55 lien55,,
同步,0,共時,kiung55 sii11,,
名叫,0,名仔安到,miang11 e31 on24 do55,,
含有,0,合有,gab31 iu24,,
吸食,0,唶食,jiod5 siid5,,
咱們,0,𫣆兜,en24 deu24,,
哈哈,0,哈哈,ha24 ha24,,
售價,0,賣出價數,mai55 cud31 ga55 sii55,,
唱歌,0,唱歌,cong55 go24,,
喪失,0,失忒,siid2 ted2,,
單一,0,單一,dan24 id2,,
四年級,0,四年生,xi55 ngien11 sen24,,
回國,0,出國轉來,cud31 gued2 zon31 loi11,,
回饋,0,回報,fi11 bo55,,
因此,0,因為恁呢,in24 vi55 an31 ne11,,
國內,0,國內,gued2 nui55,,
國內外,0,國內外,gued2 nui55 ngoi55,,
國小,0,國小,gued2 seu31,,
國王,0,國王,gued2 vong11,,
國籍,0,國籍,gued2 xid5,,
國防,0,國防,gued2 fong11,,
國際化,0,國際化,gued2 ji55 fa55,,
園區,0,園區,ien11 ki24,,
團隊,0,團隊,ton11 cui55,,
在乎,0,在意,cai55 i55,,
城鎮,0,城鎮,sang11 ziin31,,
基層,0,基層,gi24 cen11,,
場合,0,場合,cong11 hab5,,
塑造,0,塑造,zog2 co55,,
外來,0,外來,ngoi55 loi11,,
外國人,0,外國人,ngoi55 gued2 ngin11,,
多元化,0,多元化,do24 ngien11 fa55,,
夜晚,0,暗晡頭,an55 bu24 teu11,,
夜間,0,暗晡夜,am55 bu24 ia55,,
大戰,0,大戰,tai55 zan55,,
大致,0,大體,tai55 ti31,,
大臺北,0,大臺北,tai55 toi11 bed2,,
大躍進,0,大進步,tai55 jin55 pu55,,
太平洋,0,太平洋,tai55 piang11 iong11,,
女性,0,女性,ng31 xin55,,
奶奶,0,阿婆,a24 po11,,
好了,0,好了,ho31 le31,,
好了,1,好了,ho31 le24,,
好了,2,好了,ho31 lio24,,
好了,3,好了,ho31 lio31,,
好人,0,好人,ho31 ngin11,,
好友,0,好朋友,ho31pen24 iu24,,
好多,0,還多,han11 do24,,
好朋友,0,好朋友,ho31 pen11 iu24,,
好玩,0,好搞,ho31 gau31,,
好看,0,好看,ho31 kon55,,
姑娘,0,細阿妹仔,se55 a24 moi55 e31,,
媽媽,0,媽媽,ma55 ma31,,
嬉皮,0,嬉皮,hi24 pi11,,
嬰兒,0,嬰兒,o24 nga55,,
孩子,0,細人仔,se55 ngin11 e31,,
學員,0,學員,hog5 ien11,,
學習,0,學習,hog5 xib5,,
安打,0,安打,on24 da31,,
定位,0,定位,tin55 vi55,,
宣佈,0,宣布,xien24 bu55,,
宣傳,0,宣傳,xien24 con11,,
密集,0,密密,med5 med5,,
實用,0,實用,siid5 iung55,,
實行,0,實行,siid5  hang11,,
寶貴,0,寶貴,bo31 gui55,,
專輯,0,專輯,zon24 xib5,,
尊嚴,0,尊嚴,zun24 ngiam11,,
對於,0,對於,dui55 i11,,
局長,0,局長,kiug5 zong31,,
屆時,0,到時,do55 sii11,,
山區,0,山區,san24 ki24,,
山地,0,山地,san24 ti55,,
山西,0,山西,san24 xi24,,
工作站,0,工作站,gung24 zog2 zam55,,
工業區,0,工業區,gung24 ngiab5 ki24,,
工研院,0,工研院,gung24 ngien24 ien55,,
布希,0,布希,bu55 hi24,,
師父,0,師父,sii24 fu55,,
師範,0,師範,sii24 fam55,,
帶有,0,帶有,dai55 iu24,,
帶給,0,帶分,dai55 bun24,,
平台,0,平台,piang11 toi11,,
平日,0,平常時,pin11 song11 sii11,,
平面,0,平面,piang11 mien55,,
幾乎,0,強強,kiong11 kiong11,,
幾十,0,幾下十,gi31 ha24 siib5,,
廠商,0,廠商,cong31 song24,,
引導,0,引導,in31 to24,,
引導,1,引導,in31 to55,,
強化,0,強化,kiong11 fa55,,
強大,0,強大,kiong11 tai55,,
影響到,0,影響著,iang31 hiong31 do31,,
影響力,0,影響力,iang31 hiong31 lid5,,
後果,0,後果,heu55 go31,,
後者,0,後背个,heu55 boi55,,
得知,0,知得,di24 ded2,,
從未,0,從來毋識,qiung11 loi11 m11 siid31,,
微軟,0,微軟,mi11 ngion24,,
心想,0,心肚想,xim24 du31 xiong31,,
必定,0,一定,id2 tin55,,
必須,0,一定愛,id2 tin55 oi55,,
忙著,0,當在無閒,dong24 di55 mo11 han11,,
忙著,1,當在無閒,dong24 coi24 mo11 han11,,
念書,0,讀書,tug55 su24,,
念頭,0,想法,xiong31 fab31,,
忽視,0,假無看著,ga31 mo11 kon55 do31,,
情境,0,情境,qin11 gin55,,
惡化,0,惡化,og2 fa55,,
意志,0,意志,i55 zii55,,
意義,0,意義,i55 ngi55,,
意見,0,意見,i55 gien55,,
感受到,0,感受著,gam31 su55 do31,,
感覺到,0,試著,cii55 do31,,
慈濟,0,慈濟,cii11 ji55,,
慢性,0,慢性,man55 xin55,,
慾望,0,慾望,iug5 mong55,,
成為,0,成為,siin11 vi11,,
成立,0,成立,siin11 lib5,,
我國,0,𫣆國家,en24 gued2 ga24,,
戲劇,0,戲劇,hi55 kiag2,,
戶外,0,外背,ngoi55 boi55,,
所得,0,所得,so31 ded2,,
所謂,0,所講个,so31 gong55 ge55,,
所長,0,所長,so31 zong31,,
打工,0,臨時工,lim11 sii11 gung24,,
投手,0,投手,teu11 su31,,
抱怨,0,抱怨,pau55 ien55,,
抵達,0,抵達,di31 tad5,,
拿到,0,拿著,na24 do31,,
授權,0,授權,su55 kien11,,
排除,0,排除,pai11 cu11,,
掙扎,0,奮命,bin31 miang55,,
採購,0,採購,cai31 gieu55,,
接下來,0,續下來,sa55 ha24 loi11,,
推展,0,推展,tui24 zan31,,
搭配,0,相襯,xiong24 cen55,,
擬定,0,擬定,ngi31 tin55,,
擴充,0,擴大,kog31 tai55,,
收穫,0,收穫,su24 vog31,,
改造,0,改造,goi31 co55,,
政府,0,政府,ziin55 fu31,,
政權,0,政權,ziin55 kien11,,
政治,0,政治,ziin55 cii55,,
效應,0,效應,hau31 in55,,
教科書,0,教科書,gau55 ko24 su24,,
教育,0,教育,gau55 iug2,,
教育廳,0,教育廳,gau55 iug2 tang24,,
數十,0,幾下十,gi31 ha24 siib5,,
數目,0,數目,su55 mug5,,
數目,1,數目,su55 mug2,,
文物,0,文物,vun11 vud5,,
文獻,0,文獻,vun11 hien55,,
新聞,0,新聞,xin24 vun11,,
新興,0,正興起,zang55 hin24 hi31,,
於是,0,因為恁呢,in24 vi55 an31 ne11,,
旅行社,0,旅行社,li24 hang11 sa55,,
日本,0,日本,ngid2 bun31,,
昂貴,0,貴參參,gui55 sem24 sem24,,
是否,0,係無,he55 mo11,,
時光,0,時間,sii11 gien24,,
時空,0,時空,sii11 kung24,,
晚間,0,暗晡頭,am55 bu24 teu11,,
普及,0,普及,pu24 kib5,,
普及,1,普及,pu31 kib55,,
景象,0,景象,gin31 xiong55,,
更新,0,換新个,von55 xin24 ge55,,
書目,0,書目,su24 mug5,,
書目,1,書目,su24 mug2,,
書記,0,書記,su24 gi55,,
最初,0,盡先,qin55 xien24,,
最為,0,盡,qin55,,
最近,0,恁久,an31 giu31,,
有些,0,有兜,iu24 deu24,,
有利,0,有利,iu24 li55,,
有助於,0,有幫助,iu24 bong24 cu55,,
有如,0,就像,qiu55 qiong55,,
有待,0,愛等待,oi55 den31 tai55,,
有的,0,有个,iu24 ge55,,
有線,0,有線,iu24 xien55,,
有錢,0,有錢,iu24 qien11,,
有關,0,有關,iu24 guan24,,
服務業,0,服務業,fug5 vu55 ngiab5,,
李登輝,0,李登輝,li31 den24 fi24,,
東吳,0,東吳,dung24 ng11,,
東部,0,東部,dung24 pu55,,
查獲,0,查獲,ca11 fed5,,
查詢,0,查詢,ca11 sun11,,
核酸,0,核酸,hed5 son24,,
核酸,1,核酸,hed2 son24,,
案子,0,案仔,on55 e31,,
業績,0,業績,ngiab5 jid2,,
業者,0,業者,ngiab5 za31,,
構造,0,構造,gieu55 co55,,
樂園,0,樂園,log5 ien11,,
樂趣,0,趣味,qi55 mi55,,
模樣,0,形投,hin11 dau11,,
模糊,0,濛濛,mung11 mung11,,
機種,0,機器種類,gi24 hi55 zung31 lui55,,
檢討,0,檢討,giam31 to31,,
權威,0,權威,kien11 vi24,,
歌聲,0,歌聲,go24 sang24,,
此刻,0,這時節,ia31 sii11 jied31,,
武力,0,武力,vu31 lid5,,
歷程,0,歷程,lid5 cang11,,
歷經,0,歷經,lid5 gin24,,
殘障,0,殘障,can11 zong55,,
比率,0,比率,bi31 lid5,,
比起,0,比起,bi31 hi31,,
毫不,0,完全無,van11 qion11 mo11,,
民國,0,民國,min11 gued2,,
民眾,0,民眾,min11 zung55,,
氣息,0,氣脈,hi55 mag31,,
水平,0,水平,sui31 pin11,,
污染,0,污染,vu24 ngiam55,,
沒有,0,無,mo11,,
法人,0,法人,fab2 ngin11,,
注意到,0,注意著,zu55 i55 do31,,
注重,0,注重,zu55 cung55,,
注音,0,注音,zu55 im24,,
海報,0,海報,hoi31 bo55,,
海水,0,海水,hoi31 sui31,,
消除,0,消除,seu24 cu11,,
涉嫌,0,涉嫌,sab5 hiam11,,
涵蓋,0,包含,bau24 ham11,,
清大,0,清華大學,qin24 fa11 tai55 hog5,,
減輕,0,減輕,gam31 kiang24,,
測驗,0,測驗,ced2 ngiam55,,
溫馨,0,親切溫暖,qin24 qied31 vun24 non24,,
演員,0,做戲个人,zo55 hi55 ge55 ngin11,,
濃厚,0,醹醹,neu11 neu11,,
無形,0,無形,vu11 hin11,,
無比,0,非常,fi24 song11,,
然而,0,毋過,m11 go55,,
熱情,0,熱情,ngied5 qin11,,
熱門,0,熱門,ngied5 mun11,,
燈光,0,燈光,den24 gong24,,
營運,0,營運,in11 iun55,,
物件,0,物件,vud5 kien55,,
特有,0,特有,tid5 iu24,,
現階段,0,現下階段,hien55 ha55 gie24 ton55,,
球場,0,球場,kiu11 cong11,,
瑞士,0,瑞士,sui55 sii55,,
環保局,0,環保局,fan11 bo31 kiug5,,
環境,0,環境,fan11 gin55,,
環境,1,環境,kuan11 gin55,,
甚至,0,過較,go55 ka55,,
甚麼,0,麼个,ma31 ge55,,
甚麼,1,麼該,ma31 gai55,,
生活,0,生活,sen24 fad5,,
生產力,0,生產力,sen24 san31 lid5,,
生醫所,0,生物醫學所,sen24 vud5 i24 hog5 so31,,
產業,0,產業,san31 ngiab5,,
用地,0,用地,iung55 ti55,,
用心,0,用心,iung55 xim24,,
由於,0,因為,in24 vi55,,
留在,0,留在,liu11 di55,,
留在,1,留在,liu11 coi24,,
留在,2,留在,liu11 cai55,,
留學,0,留學,liu11 hog5,,
異常,0,異常,i55 song11,,
當成,0,當做,dong24 zo55,,
發展出,0,發展出,fad2 zan31 cud2,,
百姓,0,百姓,bag2 xiang55,,
皇帝,0,皇帝,fong11 di55,,
直接,0,直接,ciid5 jiab2,,
相似,0,相像,xiong24 qiong55,,
相比,0,互相比較,fu55 xiong24 bi31 gau55,,
相較,0,互相比較,fu55 xiong24 bi31 gau55,,
相關,0,相關,xiong24 guan24,,
省府,0,省政府,sen31 ziin55 fu31,,
研擬,0,研究擬定,ngien24 giu55 ngi31 tin55,,
研究生,0,研究生,ngien24 giu55 sen24,,
社員,0,社員,sa55 ien11,,
社長,0,社長,sa55 zong31,,
神話,0,神話,siin11 fa55,,
禮拜,0,禮拜,li24 bai55,,
私立,0,私立,sii24 lib5,,
科技,0,科技,ko24 gi24,,
科目,0,科目,ko24 mug5,,
科目,1,科目,ko24 mug2,,
科系,0,科系,ko24 ne55,,
秘書長,0,秘書長,bi55 su24 zong31,,
空地,0,空地,kung55 ti55,,
空間,0,空間,kung24 gien24,,
競賽,0,競賽,gin55 soi55,,
笑容,0,笑容,seu55 iung11,,
第一,0,第一,ti55 id2,,
第二,0,第二,ti55 ngi55,,
第六,0,第六,ti55 liug2,,
籃球,0,籃球,lam11 kiu11,,
籌備處,0,籌備處,cu11 pi55 cu55,,
細節,0,微毛末節,mi11 mo24 mad5 jied2,,
組長,0,組長,zu24 zong31,,
經建會,0,經建會,gin24 gien55 fi55,,
線上,0,線上,xien55 song55,,
編制,0,編制,bien24 zii55,,
編制,1,編制,pien24 aii55,,
總之,0,總講,zung31 gong31,,
總統府,0,總統府,zung31 tung31 fu31,,
績效,0,績效,jid2 hau31,,
繼續,0,繼續,gi55 xiug5,,
罷了,0,算吔,son55 e11,,
美國,0,美國,mi24 gued2,,
美國人,0,美國人,mi24 gued2 ngin11,,
美金,0,美金,mi24 gim24,,
群眾,0,群眾,kiun11 zung55,,
義大利,0,義大利,ngi55 tai55 li55,,
老大,0,大貨仔,tai55 fo55 e31,,
老虎,0,老虎,lo55 fu31,,
聯考,0,聯考,lien11 kau31,,
職務,0,職務,ziid2 vu55,,
聽眾,0,聽眾,tang24 zung55,,
股價,0,股價,gu31 ga55,,
能夠,0,做得,zo55 ded2,,
能量,0,能量,nen11 liong55,,
腫瘤,0,腫瘤,zung31 liu11,,
臨床,0,臨床,lim11 cong11,,
自主,0,自主,cii55 zu31,,
自我,0,自家,qid2 ga24,,
自我,1,自家,cii55 ga24,,
自身,0,自家,cii55 ga24,,
自身,1,自家,qid31 ga24,,
至於,0,講著,gong31 do31,,
致力,0,盡力,qin55 lid5,,
臺中市,0,臺中市,toi11 zung24 sii55,,
臺北,0,臺北,toi11 bed2,,
臺南,0,臺南,toi11 nam11,,
臺商,0,臺商,toi11 song24,,
臺灣,0,臺灣,toi11 van11,,
臺灣,1,臺灣,toi11 van11,,
臺電,0,臺灣電力公司,toi11 van11 tien55 lid5 gung24 sii24,,
與否,0,係毋係,he55 m11 he55,,
與會,0,與會,i31 fi55,,
與會,1,與會,i24 fi55,,
舉辦,0,舉辦,gi31 pan55,,
舊金山,0,舊金山,kiu55 gim24 san24,,
英語,0,英語,in24 ngi24,,
著作權,0,著作權,zu55 zog2 kien11,,
著重,0,注重在,zu55 cung55 di55,,
著重,1,注重在,zu55 cung55 cai55,,
蒐集,0,搜集,seu24 xib5,,
藝術,0,藝術,ngi55 sud5,,
處理,0,處理,cu31 li24,,
處處,0,逐位,dag2 vi55,,
行情,0,行情,hong11 qin11,,
衛生署,0,衛生署,vi55 sen24 su55,,
表示,0,表示,beu31 sii55,,
被迫,0,壓逼,ab31 bed2,,
補充,0,補充,bu31 cung24,,
要不要,0,愛無,oi55 mo11,,
規格,0,規格,gui24 gied2,,
視野,0,視野,sii55 ia24,,
親子,0,爺哀同子女,ia11 oi24 tung11 zii31 ng31,,
觀念,0,觀念,gon24 ngiam55,,
解決,0,解決,gie31 gied2,,
計畫,0,計畫,gie55 vag5,,
討論,0,討論,to31 lun55,,
記憶體,0,記憶體,gi55 i55 ti31,,
設定,0,設定,sad2 tin55,,
許多,0,當多,dong24 do24,,
訴求,0,訴求,su55 kiu11,,
評價,0,評價,pin11 ga55,,
詞彙,0,詞彙,cii11 fi55,,
詢問,0,詢問,sun11 mun55,,
認定,0,認定,ngin55 tin55,,
語意,0,語意,ngi24 i55,,
說出,0,講出,gong31 cud2,,
課外,0,課外,ko55 ngo55,,
談判,0,談判,tam11 pan55,,
請求,0,拜託,bai55 tog31,,
諸如,0,就像這,qiu55 qiong55 ia31,,
講師,0,講師,gong31 sii24,,
講座,0,講座,gong31 co55,,
證實,0,證實,ziin55 siid5,,
證據,0,證據,ziin55 gi31,,
象徵,0,象徵,xiong55 ziin24,,
豪華,0,派頭,pai55 teu11,,
負面,0,負面,fu55 mien55,,
財政部,0,財政部,coi11 ziin55 pu55,,
貴族,0,貴族,gui55 cug5,,
費率,0,費率,fi55 lid5,,
資源,0,資源,zii24 ngien11,,
資策會,0,資策會,zii24 ced2 fi55,,
資訊,0,資訊,zii24 xin55,,
質疑,0,疑狐,ngi11 fu11,,
購物,0,買東西,mai11 dung24 xi24,,
走上,0,行上,hang11 song31,,
走出,0,行出,hang11 cud2,,
超級,0,超級,ceu24 kib31,,
超級,1,超級,ceu24 gib31,,
身份,0,身份,siin24 fun55,,
身子,0,身體,siin24 ti31,,
軍人,0,軍人,giun24 ngin11,,
軟體,0,軟體,ngion24 ti31,,
輕易,0,簡單,gien31 dan24,,
輕輕,0,輕輕,kiang24 kiang24,,
近期,0,近期,kiun55 ki11,,
迷宮,0,迷宮,mi11 giung24,,
送到,0,送到,sung55 do55,,
送給,0,送分,sung55 bun24,,
逃避,0,走閃,zeu31 sam31,,
逐步,0,一步一步,id31 pu55 id31 pu55,,
這裡,0,這位,ia31 vi55,,
這邊,0,這片,ia31 pien31,,
這邊,1,這片,lia31 pien31,,
進度,0,進度,jin55 tu55,,
過度,0,過度,go55 tu55,,
過於,0,忒過,ted31 go55,,
遙遠,0,當遠,dong24 ien31,,
遠遠,0,遠遠,ien31 ien31,,
遵守,0,遵守,zun24 su31,,
選出,0,選出,xien31 cud2,,
邁向,0,行向,hang11 hiong55,,
還要,0,還愛,han11 oi55,,
邏輯,0,理論,li24 lun55,,
那麼,0,該恁呢,ge55 an31 ne11,,
郝柏村,0,郝柏村,hod31 bag2 cun24,,
部份,0,部份,pu55 fun55,,
部份,1,部份,pu55 fun24,,
郵件,0,郵件,iu11 kien55,,
鋼琴,0,鋼琴,gong55 kim11,,
錄影帶,0,錄影帶,liug5 iang31 dai55,,
錦標賽,0,錦標賽,gim31 peu24 soi55,,
鎮公所,0,鎮公所,ziin31 gung24 so31,,
鏡頭,0,鏡頭,giang55 teu11,,
鐵路,0,鐵路,tied2 lu55,,
開心,0,歡喜,fon24 hi31,,
開會,0,開會,koi24 fi55,,
間接,0,毋係直接,m11 he55 ciid5 jiab2,,
閱讀,0,閱讀,ied5 tug5,,
關係,0,關係,guan24 he55,,
防治,0,防治,fong11 cii55,,
阿曼,0,阿曼,a24 man55,,
陷入,0,陷漯,ham55 lab5,,
陽明,0,陽明,iong11 min11,,
隊伍,0,隊伍,cui55 ng31,,
雖然,0,雖然,sui24 ien11,,
雙手,0,雙手,sung24 su31,,
雙重,0,雙重,sung24 qiung11,,
離婚,0,離婚,li11 fun24,,
難免,0,異難避免,i55 nan11 pid31 mien24,,
難怪,0,難怪,nan55 guai55,,
電腦,0,電腦,tien55 no31,,
電臺,0,電臺,tien55 toi11,,
需求,0,需求,xi24 kiu11,,
靈魂,0,靈魂,lin11 fun11,,
音樂,0,音樂,im24 ngog5,,
音樂會,0,音樂會,im24 ngog5 fi55,,
音色,0,音色,im24 sed2,,
預估,0,預估,i55 gu24,,
預期,0,預期,i55 ki11,,
預測,0,預測,i55 ced2,,
預測,1,預測,i55 zed31,,
頗為,0,當,dong24,,
領先,0,領先,liang24 xien24,,
領導人,0,帶領个人,dai55 liang24 ge55 ngin11,,
頻率,0,頻率,pin11 lid5,,
題材,0,題材,ti11 coi11,,
題材,1,題材,ti11 cai11,,
願望,0,願望,ngien55 mong55,,
顯著,0,明顯,min11 hien31,,
風味,0,味緒,mi55 xi55,,
風景區,0,風景區,fung24 gin31 ki24,,
驚訝,0,著驚,cog5 giang24,,
體驗,0,體驗,ti31 ngiam55,,
高階,0,高階級,go24 gie24 kib31,,
魅力,0,餳人,xiang11 ngin11,,
黨部,0,黨部,dong31 pu55,,
一個個,0,一個個,id2 ge55 ge55,,
一共,0,一共,id2 kiung55,,
一年級,0,一年生,id2 ngien11 sen24,,
一會,0,一下仔,id2 ha55 e31,,
一流,0,一流,id2 liu11,,
一點兒,0,一息仔,id2 xid5 e31,,
一點兒,1,一滴仔,id2 did5 e31,,
一點兒,2,一點仔,id2 diam55 e31,,
三峽,0,三峽,sam24 hiab5,,
上任,0,上任,song55 im55,,
上任,1,上任,song24 im55,,
上台,0,上臺,song24 toi11,,
上司,0,上司,song55 sii24,,
上班族,0,上班族,song24 ban24 cug5,,
上級,0,上級,song55 kib2,,
上級,1,上級,song55 gib2,,
不便,0,不便,bud2 pien55,,
不便,1,毋方便,m11 fong24 pien55,,
不便,2,無方便,mo11 fong24 pien55,,
不大,0,毋大,m11 tai55,,
不得了,0,不得了,bud2 ded2 liau31,,
不得了,1,耐毋得,nai55 m11 ded2,,
不料,0,無想著,mo11 xiong31 do31,,
中小學,0,中小學,zung24 seu31 hog5,,
中部,0,中部,zung24 pu55,,
主婦,0,主婦,zu31 fu55,,
主流,0,主流,zu31 liu11,,
了不起,0,了不起,liau31 bud2 hi31,,
事務所,0,事務所,sii55 vu55 so31,,
二樓,0,二樓,ngi55 leu11,,
亞太,0,亞太,a31 tai55,,
交大,0,交通大學,gau24 tung24 tai55 hog5,,
交往,0,交往,gau24 vong24,,
亦即,0,也就係,ia55 qiu55 he55,,
人潮,0,人潮,ngin11 ceu11,,
人選,0,人選,ngin11 xien31,,
任意,0,任意,im55 i55,,
企業家,0,企業家,ki24 ngiab5 ga24,,
伯伯,0,阿伯,a24 bag2,,
住戶,0,住戶,cu55 fu55,,
佔有率,0,占有率,zam55 iu24 lid5,,
佛陀,0,佛陀,fud5 to11,,
供應商,0,供應商,giung24 in55 song24,,
促銷,0,促銷,cug2 seu24,,
修訂,0,修訂,xiu24 dang31,,
修飾語,0,修飾語,xiu24 siid2 ngi24,,
個個,0,個個,ge55 ge55,,
個股,0,個股,ge55 gu31,,
個體,0,個體,ge55 ti31,,
假設,0,假定,ga31 tin55,,
做人,0,做人,zo55 ngin11,,
做成,0,做成,zo55 siin11,,
偵辦,0,偵辦,ziin24 pan55,,
偶像,0,偶像,ngieu31 xiong55,,
偷偷,0,偷偷,teu24 teu24,,
傳出,0,傳出,con11 cud2,,
傳送,0,傳送,con11 sung55,,
優異,0,特別好,tid5 pied5 ho31,,
優異,1,優異,iu24 i55,,
先行,0,先行,xien24 hang11,,
兩百,0,兩百,liong31 bag2,,
公元,0,公元,gung24 ngien11,,
公立,0,公立,gung24 lib5,,
公職,0,公職,gung24 ziid2,,
公開賽,0,公開賽,gung24 koi24 soi55,,
