華語詞,序號,客語漢字,客語拼音,標籤,備註
帶來,0,帶來,dai11 loi55,,
廣場,0,廣場,gong24 chong55,,
強烈,0,強烈,kiong55 lied2,,
形式,0,形式,hin55 shid5,,
形成,0,形成,hin55 shin55,,
彼此,0,雙方,sung53 fong53,,
從事,0,從事,ciung55 sii33,,
德國,0,德國,ded5 gued5,,
心情,0,心情,sim53 cin55,,
心態,0,心態,sim53 tai11,,
必要,0,必要,bid5 rhau11,,
快速,0,快速,kuai11 sug5,,
思考,0,思考,sii53 kau24,,
意識,0,意識,rhi11 shid5,,
感到,0,感受到,gam24 shiu33 do11,,
成員,0,成員,shin55 rhan55,,
成本,0,成本,shin55 bun24,,
成績,0,成績,shin55 zid5,,
或許,0,或者係,fed2 zha24 he11,,
扮演,0,扮演,ban11 rhan53,,
找到,0,尋著,cim55 do24,,
投入,0,投入,teu55 ngib2,,
持續,0,持續,chi55 siug2,,
掌握,0,掌握,zhong24 vog5,,
採取,0,採取,cai24 ci24,,
推出,0,推出,tui53 chud5,,
推動,0,推動,tui53 tung33,,
措施,0,措施,cu11 shi53,,
提到,0,提著,ti55 do24,,
提升,0,提升,ti55 shin53,,
擁有,0,擁有,rhung24 rhiu53,,
擴大,0,擴大,kog5 tai33,,
政大,0,政大,zhin11 tai33,,
效率,0,效率,hau24 lid2,,
教學,0,教學,gau11 hog2,,
整體,0,整體,zhin24 ti24,,
數量,0,數量,su11 liong33,,
方案,0,方案,fong53 on11,,
旅遊,0,旅遊,li53 rhiu55,,
日前,0,日前,ngid5 cien55,,
早已,0,早就,zo24 ciu33,,
昨日,0,昨晡日,co53 bu53 ngid5,,
更多,0,更多,gien11 do53,,
最佳,0,最佳,zui11 ga53,,
有效,0,有效,rhiu53 hau24,,
有時,0,有時,rhiu53 shi55,,
有點,0,有點,rhiu53 diam24,,
期間,0,期間,ki55 gien53,,
東尼,0,東尼,dung53 ni55,,
架構,0,架構,ga11 gieu11,,
某些,0,有一兜人,rhiu53 rhid5 deu53 ngin55,,
校園,0,校園,gau24 rhan55,,
校方,0,校方,gau24 fong53,,
根本,0,根本,gin53 bun24,,
業務,0,業務,ngiab2 vu11,,
模式,0,模式,mu55 shid5,,
機構,0,機構,gi53 gieu11,,
檔案,0,檔案,dong24 on11,,
權力,0,權力,kien55 lid2,,
歐洲,0,歐洲,eu53 zhiu53,,
歡迎,0,歡迎,fon53 ngiang55,,
正在,0,正在,zhin11 cai33,,
正在,1,當當在該,don53 don53 cii11 gai55,,
此外,0,此外,cii24 ngoi33,,
比例,0,比例,bi24 li33,,
比賽,0,比賽,bi24 soi11,,
氣氛,0,氣氛,hi11 fun33,,
水準,0,水準,shui24 zhun24,,
永遠,0,永遠,rhun24 rhan24,,
汽車,0,汽車,hi11 cha53,,
法國,0,法國,fab5 gued5,,
注意,0,注意,zhu11 rhi11,,
溝通,0,溝通,gieu53 tung53,,
演出,0,演出,rhan53 chud5,,
為主,0,為主,vui55 zhu24,,
父親,0,父親,fu11 cin53,,
牠們,0,佢兜,gi55 deu53,,
特性,0,特性,tid2 sin11,,
現實,0,現實,hien33 shid2,,
理念,0,理念,li53 ngiam33,,
環保,0,環保,fan55 bo24,,
生態,0,生態,sen53 tai11,,
用戶,0,用戶,rhung33 fu33,,
男女,0,男女,nam55 ng24,,
男性,0,男性,nam55 sin11,,
留下,0,留下,liu55 ha53,,
畫面,0,畫面,fa33 mien11,,
當地,0,在地,cai33 ti33,,
疾病,0,疾病,cid2 piang33,,
的確,0,的確,dag5 kog5,,
直到,0,直直到,chid2 chid2 do11,,
看看,0,看看仔,kon11 kon11 er55,,
看見,0,看見,kon11 gien11,,
真正,0,真實係,zhin53 shid5 he11,,
瞭解,0,瞭解,liau24 gai24,,
知識,0,知識,di53 shid5,,
社團,0,社團,sha33 ton55,,
科學,0,科學,ko53 hog2,,
程式,0,程式,chang55 shid5,,
稱為,0,稱為,chin53 vui55,,
積極,0,積極,zid5 kid2,,
立即,0,黏皮,ngiam55 pi55,,
立即,1,黏時,ngiam55 shi55,,
立場,0,立場,lib2 chong55,,
競爭,0,競爭,kin11 zen53,,
符合,0,符合,fu55 hab2,,
第四,0,第四,ti33 si11,,
答案,0,答案,dab5 on11,,
算是,0,算係,son11 he11,,
系列,0,系列,ne11 lied2,,
終於,0,終於,zhung53 rhi55,,
結合,0,結合,gied5 hab2,,
結構,0,結構,gied5 gieu11,,
給予,0,分佢,bun53 gi55,,
維持,0,維持,vui55 chi55,,
美元,0,美元,mui53 ngien55,,
美麗,0,美麗,mui53 li55 33,,
老人,0,老人,lo24 ngin55,,
而是,0,顛倒係,dian53 do11 he11,,
職業,0,職業,zhid5 ngiab2,,
聽到,0,聽著,tang11 do24,,
股市,0,股市,gu24 shi33,,
自行,0,自行,cii33 hang55,,
至今,0,到這下,do11 lia24 ha33,,
英國,0,英國,rhin53 gued5,,
著名,0,出名,chud5 miang55,,
著名,1,有名,rhiu53 miang55,,
蘇聯,0,蘇聯,su53 lien55,,
表達,0,表達,biau24 tad2,,
製作,0,製作,zhi11 zog5,,
西方,0,西方,si53 fong53,,
見到,0,見著,gien11 do24,,
規劃,0,規劃,gui53 vag2,,
規模,0,規模,gui53 mu55,,
視為,0,視為,shi33 vui55,,
觀眾,0,觀眾,gon53 zhung11,,
觀點,0,觀點,gon53 diam24,,
角度,0,角度,gog5 tu33,,
解釋,0,解釋,gai24 shid5,,
訊息,0,訊息,sin11 sid5,,
設施,0,設施,shad5 shi53,,
認識,0,認識,ngin33 shid5,,
語言,0,語言,ngi53 ngien55,,
說明,0,說明,shod5 min55,,
說法,0,說法,shod5 fab5,,
調整,0,調整,tiau55 zhin24,,
警方,0,警方,gi24 fong53,,
讀書,0,讀書,tug2 shu53,,
讀者,0,讀者,tug2 zha24,,
變化,0,變化,bien11 fa11,,
貿易,0,貿易,meu33 rhid2,,
趨勢,0,趨勢,ci53 she11,,
近年,0,近年,kiun33 ngien55,,
追求,0,追求,dui53 kiu55,,
逐漸,0,漸漸,ciam33 ciam33,,
這時,0,這時,lia24 shi55,,
通常,0,通常,tung53 shong55,,
通訊,0,通訊,tung53 sin11,,
進步,0,進步,zin11 pu33,,
遊戲,0,遊戲,rhiu55 hi11,,
道路,0,道路,to33 lu33,,
達成,0,達成,tad2 shin55,,
選舉,0,選舉,sien24 gi24,,
醫學,0,醫學,rhi53 hog2,,
醫師,0,醫師,rhi53 sii53,,
醫療,0,醫療,rhi53 liau55,,
重視,0,重視,chung33 shi33,,
針對,0,針對,zhim53 dui11,,
開放,0,開放,koi53 fong11,,
關心,0,關心,guan53 sim53,,
附近,0,附近,fu11 kiun33,,
院士,0,院士,rhan11 sii33,,
院長,0,院長,rhan11 zhong24,,
隨著,0,隨等,sui55 nen24,,
集團,0,集團,sib2 ton55,,
雙方,0,雙方,sung53 fong53,,
雜誌,0,雜誌,cab2 zhi11,,
離開,0,離開,li55 koi53,,
難以,0,難以,nan33 rhi53,,
領域,0,領域,liang53 ved5,,
類似,0,似像,sii33 ciong11,,
顯示,0,顯示,hien24 shi33,,
風格,0,風格,fung53 gied5,,
香港,0,香港,hiong53 gong24,,
體系,0,體系,ti24 ne11,,
體育,0,體育,ti24 rhug2,,
鼓勵,0,鼓勵,gu24 li33,,
一一,0,一個一個,rhid5 gai11 rhid5 gai11,,
一一,1,一隻一隻,rhid5 zhag5 rhid5 zhag5,,
一再,0,再三,zai11 sam53,,
一帶,0,一帶,rhid5 dai11,,
一帶,1,附近,fu11 kiun33,,
一帶,2,搭仔,dab2 er55,,
一會兒,0,一下仔,rhid5 ha33 er55,,
一致,0,共樣,kiung33 rhong33,,
一致,1,相同,siong53 tung55,,
一致,2,統一,tung24 rhid5,,
一般人,0,一般人,rhid5 ban53 ngin55,,
一路,0,一路,rhid5 lu33,,
一邊,0,一片,rhid5 pien24,,
一面,0,一片,rhid5 pien24,,
一面,1,一面,rhid5 mien11,,
上市,0,上市,shong33 shi33,,
上班,0,上班,shong53 ban53,,
下列,0,下列,ha33 lied2,,
下列,1,下背,ha53 boi11,,
不妨,0,做得,zo11 ded5,,
不已,0,無停,mo55 tin55,,
不幸,0,不幸,bud5 hen33,,
不幸,1,壞運,fai33 rhun33,,
不得,0,做毋得,zo11 m55 ded5,,
不得不,0,高不將,go53 bud2 ziong53,,
不得不,1,無奈何,mo55 nai33 ho55,,
不滿,0,不滿,bud5 man53,,
不滿,1,毋歡喜,m55 fon53 hi24,,
不禁,0,忍毋核,ngiun53 m55 hed2,,
不禁,1,耐毋得,nai33 m55 ded5,,
不行,0,做毋得,zo11 m55 ded5,,
不行,1,無法度,mo55 fab5 tu33,,
中學,0,中學,zhung53 hog2,,
中東,0,中東,zhung53 dung53,,
中正,0,中正,zhung53 zhin11,,
中油,0,中油,zhung53 rhiu55,,
中研院,0,中央研究院,zhung53 rhong53 ngan53 giu11 rhan11,,
中研院,1,中研院,zhung53 ngan53 rhan11,,
中間,0,中間,zhung53 gien53,,
主力,0,主力,zhu24 lid2,,
主導,0,負責領導,fu11 zid5 liang53 to33,,
主機,0,主機,zhu24 gi53,,
主辦,0,主辦,zhu24 pan33,,
之內,0,之內,zii53 nui33,,
之所以,0,做麼个,zo11 ma24 gai11,,
予以,0,摎佢,lau53 gi55,,
事先,0,事先,sii33 sien53,,
互動,0,互動,fu11 tung33,,
互動,1,交流,gau53 liu55,,
人權,0,人權,ngin55 kien55,,
人群,0,人群,ngin55 kiun55,,
人際,0,人際,ngin55 zi11,,
人體,0,人體,ngin55 ti24,,
今後,0,下*二擺,ha33*ngi33 han33 bai24,,
今後,1,從今以後,ciung55 gim53 rhi53 heu33,,
付出,0,付出,fu11 chud5,,
以便,0,方便,fong53 pien33,,
以致,0,所以,so24 rhi53,,
以致,1,造成,co33 shin55,,
份子,0,份子,fun33 zii24,,
休閒,0,休閒,hiu53 han55,,
估計,0,估計,gu53 gie11,,
估計,1,估算,gu53 son11,,
估計,2,推算,tui53 son11,,
伺服器,0,伺服器,sii33 fug2 hi11,,
似的,0,樣,rhong33,,
作家,0,作家,zog5 ga53,,
來賓,0,來賓,loi55 bin53,,
供應,0,供給,giung53 gib5,,
供應,1,提供,ti55 giung53,,
依然,0,還係,han55 he11,,
便宜,0,便宜,pien55 ngi55,,
促使,0,促成,cug5 shin55,,
促使,1,促使,cug5 sii24,,
保育,0,保育,bo24 rhug2,,
保護區,0,保護區,bo24 fu33 ki53,,
修改,0,修改,siu53 goi24,,
修改,1,修改,siu53 gai24,,
修正,0,修正,siu53 zhin11,,
個別,0,單獨,dan53 tug2,,
個性,0,性體,sin11 ti24,,
個案,0,個案,gai11 on11,,
倒是,0,顛倒係,dien53 do11 he11,,
倫敦,0,倫敦,lun55 dun53,,
偉大,0,偉大,vui53 tai33,,
做好,0,做好,zo11 ho24,,
做法,0,做法,zo11 fab5,,
傑出,0,傑出,kied2 chud5,,
傑出,1,優等,rhiu53 den24,,
儘量,0,盡量,cin33 liong33,,
優勢,0,優勢,rhiu53 she11,,
優勢,1,贏面,rhang55 mien11,,
允許,0,同意,tung55 rhi11,,
允許,1,許可,hi24 ko24,,
充實,0,充實,chung53 shid2,,
先進,0,先進,sien53 zin11,,
先進,1,前輩,cien55 bui11,,
先進,2,進步,zin11 pu33,,
光碟,0,光碟,gong53 tiab2,,
內在,0,內在,nui33 cai33,,
內涵,0,內涵,nui33 ham55,,
全民,0,全民,cion55 min55,,
公主,0,公主,gung53 zhu24,,
公分,0,公分,gung53  fun53,,
公務員,0,公務員,gung53 vu11 rhan55,,
公務員,1,公務員,gung53 mu11 rhan55,,
公斤,0,公斤,gung53 gin53,,
公會,0,公會,gung53 fui33,,
公社,0,公社,gung53 sha33,,
公頃,0,公頃,gung53 kien24,,
共識,0,同意,tung55 rhi11,,
共識,1,想法共樣,siong24 fab5 kiung33 rhong33,,
其餘,0,伸个,chun53 gai11,,
其餘,1,其他,ki55 ta53,,
出生,0,出世,chud5 she11,,
分子,0,分子,fun53 zii24,,
初期,0,初期,cu53 ki55,,
到達,0,到咧,do11 le53,,
前來,0,來,loi55,,
剩下,0,伸,chun53,,
創意,0,創意,cong24 rhi11,,
動力,0,動力,tung33 lid2,,
動態,0,無固定,mo55 gu11 tin33,,
動態,1,變動个情形,bien11 tung33 gai11 cin55 hin55,,
北市,0,台北市,toi55 bed5 shi33,,
協調,0,協調,hiab2 tiau55,,
南部,0,南部,nam55 pu33,,
南非,0,南非,nam55 fui53,,
印度,0,印度,rhin11 tu33,,
印表機,0,印表機,rhin11 biau24 gi53,,
古代,0,老古時代,lo24 gu24 shi55 toi33,,
古代,1,老頭擺,lo24 teu55 bai24,,
古典,0,古典,gu24 dien24,,
古蹟,0,古蹟,gu24 zid5,,
句子,0,句仔,gi11 er55,,
可怕,0,得人驚,ded5 ngin55 giang53,,
可能性,0,可能性,ko24 nen55 sin11,,
台中,0,台中,toi55 zhung53,,
台塑,0,台塑,toi55 sog5,,
台幣,0,台幣,toi55 bi11,,
台灣人,0,台灣人,toi55 van53 ngin55,,
各界,0,各界,gog5 gai11,,
各自,0,各人,gog5 ngin55,,
各自,1,各各,gog5 gog5,,
各自,2,各儕,gog5 sa55,,
合約,0,合約,hab2  rhog5,,
名稱,0,名稱,miang55 chin53,,
名詞,0,名詞,miang55 cii55,,
呼籲,0,公開要求,gung53 koi53 rhau53 kiu55,,
品牌,0,品牌,pin24 pai55,,
商人,0,生理人,sen53 li53 ngin55,,
問卷,0,問卷,mun11 gien24,,
喜愛,0,當愛,dong53 oi11,,
單元,0,單元,dan53 ngien55,,
嘗試,0,試看,chi11 kon11,,
嚴格,0,嚴格,ngiam55 gied5,,
因應,0,適應,shid2 rhin11,,
因應,1,應付,rhin11 fu11,,
困境,0,困難,kun11 nan55,,
困擾,0,為難,vui55 nan55,,
困擾,1,搣衰,med2 soi53,,
固然,0,雖然,sui53 rhan55,,
國會,0,國會,gued5 fui33,,
國科會,0,國科會,gued5 ko53 fui33,,
圖書,0,圖書,tu55 shu53,,
地面,0,地面,ti33 mien11,,
基因,0,基因,gi53 rhin53,,
基地,0,基地,gi53 ti33,,
基金,0,基金,gi53 gim53,,
報名,0,報名,bo11 miang55,,
境界,0,情景,cin55 gin24,,
增進,0,促進,cug5 zin11,,
外交,0,外交,ngoi33 gau53,,
外在,0,外在,ngoi33 cai33,,
外界,0,外背,ngo33 boi11,,
多半,0,大體,tai33 ti24,,
多麼,0,幾,gi24,,
大地,0,大地,tai33 ti33,,
大多,0,大部分,tai33 pu33 fun33,,
大多,1,大體,tai33 ti24,,
大學生,0,大學生,tai33 hog2 sang53,,
大專,0,大專,tai33 zhon53,,
大師,0,大腳士,tai33 giog5 sii11,,
大幅,0,大幅,tai33 fug5,,
大幅,1,大量,tai33 liong33,,
大盤,0,大盤,tai33 pan55,,
大部份,0,大部份,tai33 pu33 fun33,,
大都,0,大體,tai33 ti24,,
大門,0,大門,tai33 mun55,,
奧會,0,奧林匹克委員會,o11 lim55 pid5 kied5 vui53 rhan55 fui33,,
奧會,1,奧會,o11 fui33,,
奧運,0,奧運,o11 rhun33,,
女孩子,0,細妹仔,se11 moi11 er55,,
好奇,0,想愛知,siong24 oi11 di53,,
好處,0,好處,ho24 chu11,,
如果說,0,係講,he11 gong24,,
始終,0,一直,rhid5 chid2,,
始終,1,從頭到尾,ciung55 teu55 do11 mui53,,
學位,0,學位,hog2 vui33,,
學生會,0,學生會,hog2 sang53 fui33,,
官方,0,官方,gon53 fong53,,
定義,0,定義,tin33 ngi33,,
家具,0,家具,ga53 ki33,,
密切,0,密切,med2 cied5,,
實力,0,實力,shid2 lid2,,
實質,0,實際內容,shid2 zi11 nui33 rhung55,,
實質,1,實質,shid2 zhid5,,
實驗室,0,實驗室,shid2 ngiam33 shid5,,
將近,0,差毋多,ca53 m55 do53,,
將近,1,偎有,va33 rhiu53,,
專題,0,專題,zhon53 ti55,,
尋求,0,尋,cim55,,
導向,0,帶向,dai11 hiong11,,
小型,0,小型,siau24 hin55,,
小型,1,細型,se11 hin55,,
小小,0,細細,se11 se11,,
小時候,0,細人時節,se11 ngin55 shi55 zied5,,
就算,0,就算,ciu33 son11,,
就讀,0,就讀,ciu33 tug2,,
居然,0,無想著,mo55 siong24 do24,,
居然,1,嗄,sa11,,
展出,0,展出,zhan24 chud5,,
展現,0,表現,biau24 hien33,,
展現,1,展現,zhan24 hien33,,
展示,0,展示,zhan24 shi33,,
層次,0,層次,cen55 cii11,,
層面,0,方面,fong53 mien11,,
層面,1,層面,cen55 mien11,,
工程師,0,工程師,gung53 chang55 sii53,,
巨大,0,當大,dong53 tai33,,
差距,0,爭差,zang53 ca53,,
巴西,0,巴西,ba53 si53,,
巴黎,0,巴黎,ba53 li55,,
市區,0,市區,shi33 ki53,,
市府,0,市府,shi33 fu24,,
市府,1,市政府,shi33 zhin11 fu24,,
市立,0,市立,shi33 lib2,,
師大,0,師大,sii53 tai33,,
師生,0,師生,sii53 sen53,,
帶動,0,帶動,dai11 tung33,,
帶動,1,帶領,dai11 liang53,,
常見,0,常見,shong55 gien11,,
年度,0,年度,ngien55 tu33,,
座談會,0,座談會,co33 tam55 fui33,,
廣大,0,又闊又大,rhiu33 fad5 rhiu33 tai33,,
廣泛,0,普遍,pu53 pien11,,
引發,0,引起,rhin24 hi24,,
引發,1,引起,rhin53 hi24,,
形容,0,形容,hin55 rhung55,,
形態,0,外形,ngoi33 hin55,,
形態,1,形態,hin55 tai11,,
彷彿,0,當像,dong53 ciong11,,
彷彿,1,像人,ciong11 ngin55,,
得以,0,做得,zo11 ded5,,
從小,0,從細,ciung55 se11,,
從此,0,自後,cii33 heu33,,
從此,1,該日以後,gai55 ngid5 rhi53 heu33,,
循環,0,循環,sun55 kuan55,,
徹底,0,徹底,chad2 dai24,,
必然,0,定著,tin33 chog2,,
忍不住,0,忍毋核,ngiun53 m55 hed2,,
忍不住,1,耐毋得,nai33 m55 ded5,,
忽略,0,無注意,mo55 zhu11 rhi11,,
忽略,1,無顧著,mo55 gu11 do24,,
怎樣,0,仰般,ngiong24 ban53,,
怎麼辦,0,仰結煞,ngiong24 gad5 sad5,,
性能,0,性能,sin11 nen55,,
患者,0,病人,piang33 ngin55,,
情勢,0,形勢,hin55 she11,,
想想,0,想一下,siong24 rhid5 ha33,,
意外,0,意外,rhi11 ngoi33,,
意願,0,意願,rhi11 ngien33,,
愛心,0,愛心,oi11 sim53,,
懂得,0,知,di53,,
懂得,1,曉得,hiau24 ded5,,
成分,0,成分,shin55 fun33,,
成效,0,成果,shin55 go24,,
房地產,0,房地產,fong55 ti33 san24,,
手法,0,手法,shiu24 fab5,,
手法,1,手段,shiu24 ton33,,
打破,0,打爛,da24 lan33,,
打破,1,改變,goi24 bien11,,
打電話,0,打電話,da24 tien33 fa11,,
找出,0,尋出,cim55 chud5,,
投資人,0,投資人,teu55 zii53 ngin55,,
拍攝,0,翕,hib5,,
指導,0,指導,zhi24 to53,,
指數,0,指數,zhi24 su11,,
指標,0,指標,zhi24 piau53,,
按照,0,照等,zhau11 nen24,,
挫折,0,失敗,shid5 pai33,,
挫折,1,無順利,mo55 shun33 li33,,
描述,0,形容,hin55 rhung55,,
描述,1,描寫,miau55 sia24,,
提昇,0,提昇,ti55 shin53,,
提昇,1,提高,ti55 go53,,
操作,0,操作,cau53 zog5,,
據了解,0,聽講,tang11 gong24,,
據了解,1,聽講,tang53 gong24,,
據說,0,聽講,tang11 gong24,,
據說,1,聽講,tang53 gong24,,
改為,0,改成,goi24 shin55,,
改為,1,改做,goi24 zo11,,
改進,0,改進,goi24 zin11,,
改進,1,改進,gai24 zin11,,
故宮,0,故宮,gu11 giung53,,
效益,0,效果摎利益,hau24 go24 lau53 li33 rhid5,,
教堂,0,教堂,gau11 tong55,,
教育局,0,教育局,gau11 rhug2 kiug2,,
數據,0,統計資料,tung24 gie11 zii53 liau33,,
數據,1,數字資料,su11 sii33 zii53 liau33,,
文明,0,文明,vun55 min55,,
新台幣,0,新台幣,sin53 toi55 bi11,,
施工,0,施工,shi53 gung53,,
旅行,0,旅行,li53 hang55,,
日常,0,日常,ngid5 shong55,,
日常,1,平常,pin55 shong55,,
日本人,0,日本人,ngid5 bun24 ngin55,,
日益,0,緊來緊,gin24 loi55 gin24,,
明星,0,明星,min55 sen53,,
明星,1,明星,miang55 sen53,,
明確,0,明確,min55 kog5,,
明確,1,確定,kog5 tin33,,
時刻,0,時節,shi55 zied5,,
時刻,1,常常,shong55 shong55,,
時機,0,時機,shi55 gi53,,
時機,1,機會,gi53 fui33,,
景氣,0,景氣,gin24 hi11,,
更為,0,更加,gien11 ga53,,
更為,1,還較,han55 ha11,,
會不會,0,毋知會無,m55 di53 voi33 mo55,,
會不會,1,會無,voi33 mo55,,
會長,0,會長,fui33 zhong24,,
有意,0,有意,rhiu53 rhi11,,
有所,0,有,rhiu53,,
期待,0,期待,ki55 tai33,,
期望,0,希望,hi53 mong33,,
本人,0,本人,bun24 ngin55,,
東京,0,東京,dung53 gin53,,
東南亞,0,東南亞,dung53 nam55 a24,,
東方,0,東方,dung53 fong53,,
校務,0,校務,gau24 mu11,,
校務,1,校務,gau24 vu11,,
核心,0,中心,zhung53 sim53,,
案件,0,案件,on11 kien33,,
案例,0,案例,on11 li33,,
業界,0,同業,tung55 ngiab2,,
業界,1,業界,ngiab2 gai11,,
極為,0,非常,fui53 shong55,,
構想,0,想法,siong24 fab5,,
構成,0,組成,zu53 shin55,,
樂團,0,樂團,ngog2 ton55,,
機場,0,機場,gi53 chong55,,
權益,0,權利,kien55 li33,,
權益,1,權益,kien55 rhid5,,
歐美,0,西方國家,si53 fong53 gued5 ga53,,
歐美,1,歐美,eu53 mui53,,
步驟,0,步,pu33,,
步驟,1,程序,chang55 si11,,
步驟,2,過程,go11 chang55,,
毛澤東,0,毛澤東,mo53 ced2 dung53,,
毫無,0,完全無,van55 cion55 mo55,,
民俗,0,民俗,min55 siug2,,
民營,0,民營,min55 rhin55,,
氣候,0,天時,tien53 shi55,,
決策,0,決定,gied5 tin33,,
法規,0,法規,fab5 gui53,,
波斯灣,0,波斯灣,bo53 sii53 van53,,
泰國,0,泰國,tai11 gued5,,
活力,0,活動力,fad2 tung33 lid2,,
流程,0,流程,liu55 chang55,,
浪漫,0,有情調,rhiu53 cin55 tiau33,,
海洋,0,海洋,hoi24 rhong55,,
海珊,0,海珊,hoi24 san53,,
涉及,0,牽涉著,kien53 shab2 do24,,
深深,0,非常,fui53 shong55,,
深深,1,當深,dong53 chim53,,
清晨,0,打早,da24 zo24,,
清華,0,清華,cin53 fa55,,
測試,0,測試,ced5 shi11,,
演奏,0,演奏,rhan53 zeu11,,
潛力,0,未來个能力,vui33 loi55 gai11 nen55 lid2,,
澳洲,0,澳洲,o11 zhiu53,,
火車,0,火車,fo24 cha53,,
無數,0,當多,dong53 do53,,
熊貓,0,熊貓,rhung55 ngiau11,,
熟悉,0,熟絡,shug2 log2,,
熱烈,0,熱烈,ngied2 lied2,,
爭議,0,爭議,zen53 ngi33,,
爺爺,0,阿公,a33 gung53,,
版本,0,版本,ban24 bun24,,
物理,0,物理,vud2 li53,,
特定,0,特別指定,tid2 pied2 zhi24 tin33,,
特定,1,特定,tid2 tin33,,
特質,0,特質,tid2 zhid5,,
